"","id","date","cluster"
"683",9,2017-01-06,9
"684",9,2017-01-07,9
"685",9,2017-01-08,9
"686",9,2017-01-09,5
"687",9,2017-01-10,9
"688",9,2017-01-11,9
"689",9,2017-01-12,9
"690",9,2017-01-13,9
"691",9,2017-01-14,2
"692",9,2017-01-15,5
"693",9,2017-01-16,9
"694",9,2017-01-17,9
"695",9,2017-01-18,9
"696",9,2017-01-19,9
"697",9,2017-01-20,9
"698",9,2017-01-21,7
"699",9,2017-01-22,5
"700",9,2017-01-23,9
"701",9,2017-01-24,9
"702",9,2017-01-25,9
"703",9,2017-01-26,9
"704",9,2017-01-27,9
"705",9,2017-01-28,9
"706",9,2017-01-29,5
"707",9,2017-01-30,5
"708",9,2017-01-31,5
"709",10,2016-10-02,5
"710",10,2016-10-03,5
"711",10,2016-10-04,5
"712",10,2016-10-05,3
"713",10,2016-10-06,5
"714",10,2016-10-07,10
"715",10,2016-10-08,5
"716",10,2016-10-09,6
"717",10,2016-10-10,6
"718",10,2016-10-11,5
"719",10,2016-10-12,6
"720",10,2016-10-13,5
"721",10,2016-10-14,5
"722",10,2016-10-15,5
"723",10,2016-10-16,5
"724",10,2016-10-17,5
"725",10,2016-10-18,5
"726",10,2016-10-19,5
"727",10,2016-10-20,3
"728",10,2016-10-21,3
"729",10,2016-10-22,6
"730",10,2016-10-23,6
"731",10,2016-10-24,5
"732",10,2016-10-25,9
"733",10,2016-10-26,1
"734",10,2016-10-27,5
"735",10,2016-10-28,1
"736",10,2016-10-29,10
"737",10,2016-10-30,5
"738",10,2016-10-31,8
"739",10,2016-11-01,3
"740",10,2016-11-02,1
"741",10,2016-11-03,3
"742",10,2016-11-04,10
"743",10,2016-11-05,3
"744",10,2016-11-06,3
"745",10,2016-11-07,8
"746",10,2016-11-10,6
"747",10,2016-11-11,10
"748",10,2016-11-12,3
"749",10,2016-11-13,6
"750",10,2016-11-14,3
"751",10,2016-11-15,9
"752",10,2016-11-16,5
"753",10,2016-11-17,9
"754",10,2016-11-18,6
"755",10,2016-11-19,5
"756",10,2016-11-20,5
"757",10,2016-11-21,6
"758",10,2016-11-22,9
"759",10,2016-11-23,3
"760",10,2016-11-24,5
"761",10,2016-11-25,10
"762",10,2016-11-26,5
"763",10,2016-11-29,9
"764",10,2016-11-30,3
"765",10,2016-12-01,9
"766",10,2016-12-02,5
"767",10,2016-12-03,5
"768",10,2016-12-04,9
"769",10,2016-12-05,6
"770",10,2016-12-06,5
"771",10,2016-12-07,5
"772",10,2016-12-08,5
"773",10,2016-12-09,5
"774",10,2016-12-10,1
"775",10,2016-12-11,8
"776",10,2016-12-12,5
"777",10,2016-12-13,9
